V2	V4
-5	0.00975
-4.9	0.00971
-4.8	0.009782
-4.7	0.009794
-4.6	0.00981
-4.5	0.009822
-4.4	0.009838
-4.3	0.009848
-4.2	0.00985
-4.1	0.009866
-4	0.00987
-3.9	0.009876
-3.8	0.009882
-3.7	0.009896
-3.6	0.009894
-3.5	0.009888
-3.4	0.009898
-3.3	0.009922
-3.2	0.00993
-3.1	0.00987
-3	0.00993
-2.9	0.009946
-2.8	0.009964
-2.7	0.009972
-2.6	0.00998
-2.5	0.009986
-2.4	0.00999
-2.3	0.009994
-2.2	0.010006
-2.1	0.010016
-2	0.010002
-1.9	0.01003
-1.8	0.010006
-1.7	0.010028
-1.6	0.010046
-1.5	0.01005
-1.4	0.01006
-1.3	0.010062
-1.2	0.01007
-1.1	0.010042
-1	0.010068
-0.9	0.010096
-0.8	0.010082
-0.7	0.010094
-0.6	0.01011
-0.5	0.010118
-0.4	0.010128
-0.3	0.010132
-0.2	0.010146
-0.1	0.010148
0	0.010152
0.1	0.01016
0.2	0.010166
0.3	0.01016
0.4	0.01017
0.5	0.010162
0.6	0.01018
0.7	0.010196
0.8	0.010196
0.9	0.010198
1	0.010212
1.1	0.010202
1.2	0.010218
1.3	0.01021
1.4	0.01019
1.5	0.010224
1.6	0.010208
1.7	0.010232
1.8	0.010252
1.9	0.010244
2	0.01023
2.1	0.010234
2.2	0.010232
2.3	0.010188
2.4	0.010172
2.5	0.01011
2.6	0.009952
2.7	0.009712
2.8	0.009316
2.9	0.007878
3	0.00634
3.1	0.005018
3.2	0.003854
3.3	0.002988
3.4	0.002444
3.5	0.001918
3.6	0.001534
3.7	0.001364
3.8	0.00118
3.9	0.00106
4	0.001014
4.1	0.00097
4.2	0.000922
4.3	0.000874
4.4	0.000814
4.5	0.00076
4.6	0.00072
4.7	0.00067
4.8	0.000634
4.9	0.000606
5	0.00058
-5	0.010806
-4.9	0.01083
-4.8	0.010842
-4.7	0.010844
-4.6	0.010852
-4.5	0.010852
-4.4	0.010864
-4.3	0.010882
-4.2	0.010882
-4.1	0.010888
-4	0.010892
-3.9	0.010908
-3.8	0.010922
-3.7	0.01093
-3.6	0.01092
-3.5	0.010934
-3.4	0.010936
-3.3	0.010954
-3.2	0.010952
-3.1	0.010954
-3	0.01096
-2.9	0.01096
-2.8	0.01097
-2.7	0.010986
-2.6	0.011
-2.5	0.011008
-2.4	0.011004
-2.3	0.011014
-2.2	0.011014
-2.1	0.011018
-2	0.011026
-1.9	0.011046
-1.8	0.01105
-1.7	0.01106
-1.6	0.011068
-1.5	0.011072
-1.4	0.011082
-1.3	0.011086
-1.2	0.011094
-1.1	0.01111
-1	0.011112
-0.9	0.01112
-0.8	0.011126
-0.7	0.011138
-0.6	0.011146
-0.5	0.011132
-0.4	0.011144
-0.3	0.011134
-0.2	0.011142
-0.1	0.01112
0	0.011076
0.1	0.011042
0.2	0.010974
0.3	0.01079
0.4	0.01042
0.5	0.009704
0.6	0.0085
0.7	0.006974
0.8	0.00551
0.9	0.004352
1	0.003502
1.1	0.002896
1.2	0.002452
1.3	0.002126
1.4	0.001864
1.5	0.001666
1.6	0.001508
1.7	0.001372
1.8	0.001258
1.9	0.00117
2	0.00109
2.1	0.001026
2.2	0.000964
2.3	0.000912
2.4	0.000866
2.5	0.000822
2.6	0.000788
2.7	0.000754
2.8	0.000724
2.9	0.000696
3	0.00067
3.1	0.000648
3.2	0.000624
3.3	0.000608
3.4	0.000584
3.5	0.000568
3.6	0.000552
3.7	0.000538
3.8	0.000522
3.9	0.000512
4	0.0005
4.1	0.00049
4.2	0.000478
4.3	0.000468
4.4	0.000458
4.5	0.00045
4.6	0.000438
4.7	0.000428
4.8	0.000422
4.9	0.000416
5	0.000406
-5	0.012082
-4.9	0.012102
-4.8	0.012156
-4.7	0.012172
-4.6	0.012204
-4.5	0.01223
-4.4	0.012236
-4.3	0.012266
-4.2	0.012284
-4.1	0.012302
-4	0.012344
-3.9	0.01239
-3.8	0.012406
-3.7	0.012388
-3.6	0.012456
-3.5	0.012476
-3.4	0.0125
-3.3	0.012524
-3.2	0.01254
-3.1	0.01253
-3	0.012516
-2.9	0.012584
-2.8	0.01261
