I4	V1	V2
-0.1	-3.64834	-1.967968
-0.098	-3.64672	-1.964198
-0.096	-3.6465	-1.963784
-0.094	-3.64632	-1.963704
-0.092	-3.64602	-1.96245
-0.09	-3.6457	-1.961532
-0.088	-3.64518	-1.96039
-0.086	-3.64466	-1.959742
-0.084	-3.6445	-1.95958
-0.082	-3.6444	-1.959188
-0.08	-3.64428	-1.95874
-0.078	-3.6442	-1.958948
-0.076	-3.64422	-1.958768
-0.074	-3.64388	-1.958182
-0.072	-3.64408	-1.958804
-0.07	-3.64412	-1.958698
-0.068	-3.64422	-1.959074
-0.066	-3.64446	-1.960016
-0.064	-3.64466	-1.960014
-0.062	-3.64476	-1.960148
-0.06	-3.64506	-1.961152
-0.058	-3.64524	-1.961444
-0.056	-3.64546	-1.96183
-0.054	-3.6457	-1.962198
-0.052	-3.64574	-1.962622
-0.05	-3.64596	-1.962688
-0.048	-3.6461	-1.963456
-0.046	-3.64608	-1.96304
-0.044	-3.64608	-1.963132
-0.042	-3.64624	-1.963346
-0.04	-3.6462	-1.963384
-0.038	-3.64626	-1.963456
-0.036	-3.64654	-1.964622
-0.034	-3.64698	-1.965866
-0.032	-3.64766	-1.966784
-0.03	-3.6481	-1.96799
-0.028	-3.64834	-1.968282
-0.026	-3.64874	-1.970072
-0.024	-3.35728	-1.807172
-0.022	-3.06492	-1.6452
-0.02	-2.77644	-1.486772
-0.018	-2.49106	-1.33087
-0.016	-2.20774	-1.177146
-0.014	-1.927356	-1.025768
-0.012	-1.647134	-0.87538
-0.01	-1.369966	-0.727172
-0.008	-1.094382	-0.580324
-0.006	-0.819596	-0.43429
-0.004	-0.545562	-0.288934
-0.002	-0.272316	-0.144218
0	-0.000124	-0.000088
0.002	0.271976	0.143836
0.004	0.545034	0.288334
0.006	0.81856	0.433236
0.008	1.09275	0.57865
0.01	1.367376	0.724578
0.012	1.64346	0.87165
0.014	1.920728	1.019686
0.016	2.19935	1.168888
0.018	2.48014	1.320008
0.02	2.76292	1.472818
0.022	3.04738	1.6269
0.024	3.33518	1.784848
0.026	3.62876	1.949448
0.028	3.6434	1.960334
0.03	3.68454	2.078276
0.032	3.7067	2.127514
0.034	3.7573	2.039076
0.036	3.7038	2.094726
0.038	3.70166	2.075466
0.04	3.68334	2.04637
0.042	3.68256	2.035306
0.044	3.67464	2.033608
0.046	3.67754	2.022938
0.048	3.67402	2.02717
0.05	3.67292	2.017934
0.052	3.66916	2.015258
0.054	3.67022	2.016862
0.056	3.66986	2.01201
0.058	3.66882	2.014066
0.06	3.66836	2.013856
0.062	3.66722	2.009062
0.064	3.66416	2.002896
0.066	3.66396	2.002396
0.068	3.66354	2.002058
0.07	3.66246	1.999282
0.072	3.6623	1.998928
0.074	3.66196	1.998604
0.076	3.66162	1.996666
0.078	3.66108	1.996408
0.08	3.66098	1.9958
0.082	3.66086	1.995952
0.084	3.66162	1.998102
0.086	3.6619	1.998032
0.088	3.65896	1.98968
0.09	3.65816	1.989734
0.092	3.65632	1.98535
0.094	3.6562	1.98488
0.096	3.65606	1.98541
0.098	3.65532	1.982672
0.1	3.65496	1.982778
