 V1	 V3
-1.789292	-3.4552
-1.8269	-3.47628
-1.890134	-3.5238
-1.964212	-3.58182
-2.1407	-3.60346
-2.137814	-3.61002
-2.129552	-3.60568
-2.12024	-3.61238
-2.12977	-3.60522
-2.093074	-3.59632
-2.11912	-3.61352
-2.121734	-3.60198
-2.12416	-3.59398
-2.090866	-3.5991
-2.108808	-3.6038
-2.13296	-3.6079
-2.125736	-3.60578
-2.117644	-3.59878
-2.10768	-3.59802
-2.09824	-3.59588
-2.095286	-3.59136
-2.10146	-3.59562
-2.100276	-3.59226
-2.093556	-3.58966
-2.10134	-3.59024
-2.097754	-3.58542
-2.08076	-3.59466
-2.10208	-3.58722
-2.06488	-3.58036
-2.05752	-3.57584
-2.052968	-3.57502
-2.048656	-3.57414
-2.05484	-3.57634
-2.05384	-3.57478
-2.055002	-3.57638
-2.04822	-3.57292
-2.045118	-3.57868
-2.053138	-3.57634
-2.05276	-3.58288
-2.08251	-3.58564
-2.084352	-3.59454
-2.09362	-3.58928
-2.087686	-3.5858
-2.08004	-3.58388
-2.074662	-3.5899
-2.092972	-3.59306
-2.09378	-3.5884
-2.079242	-3.58894
-1.682734	-2.89408
-0.822408	-1.438906
0.005062	-0.007252
0.820778	1.407206
1.424158	2.59032
1.764006	3.43346
1.749144	3.4326
1.771038	3.43388
1.775774	3.4386
1.7745	3.4397
1.775946	3.43756
1.777472	3.43716
1.77462	3.43898
1.777876	3.44068
1.763676	3.44116
1.76476	3.43872
1.76684	3.4397
1.762658	3.43966
1.769426	3.43956
1.767398	3.43984
1.765574	3.43988
1.769288	3.43976
1.76878	3.43948
1.773218	3.439
1.767774	3.43842
1.762166	3.43842
1.76592	3.4388
1.794064	3.43796
1.768882	3.4382
1.765316	3.43856
1.760468	3.43854
1.76986	3.43882
1.768808	3.43938
1.77382	3.43932
1.761404	3.43916
1.751134	3.43914
1.748788	3.43906
1.754708	3.43872
1.752714	3.438
1.759302	3.43754
1.7608	3.43692
1.751662	3.4367
1.755744	3.43674
1.753644	3.43666
1.757184	3.43662
1.75328	3.43638
1.763882	3.43662
1.75993	3.43678
1.758352	3.43716
1.757896	3.43732
1.753182	3.43734
1.751264	3.43726
1.756334	3.43732
