V1	I1
-5	-0.0999989
-4.9	-0.0999994
-4.8	-0.1000001
-4.7	-0.0999988
-4.6	-0.0999986
-4.5	-0.0999995
-4.4	-0.0999995
-4.3	-0.0999987
-4.2	-0.0999988
-4.1	-0.0999989
-4	-0.0999988
-3.9	-0.0999982
-3.8	-0.0999991
-3.7	-0.0999992
-3.6	-0.0999999
-3.5	-0.0999991
-3.4	-0.0999989
-3.3	-0.0999987
-3.2	-0.0999991
-3.1	-0.0999992
-3	-0.0982498
-2.9	-0.0880786
-2.8	-0.0901528
-2.7	-0.0788138
-2.6	-0.0775103
-2.5	-0.0765093
-2.4	-0.0756172
-2.3	-0.0718117
-2.2	-0.0681765
-2.1	-0.0651664
-2	-0.0619266
-1.9	-0.0586578
-1.8	-0.0555107
-1.7	-0.0522906
-1.6	-0.0491034
-1.5	-0.0459288
-1.4	-0.0427399
-1.3	-0.0395863
-1.2	-0.0364526
-1.1	-0.0333105
-1	-0.0302133
-0.9	-0.0271106
-0.8	-0.0240437
-0.7	-0.020987
-0.6	-0.0179212
-0.5	-0.0148913
-0.4	-0.0118537
-0.3	-0.00885453
-0.2	-0.00588504
-0.1	-0.00292696
0	-0.0000272985
0.1	0.00284374
0.2	0.0056671
0.3	0.00841543
0.4	0.01111776
0.5	0.0138096
0.6	0.0164724
0.7	0.0191814
0.8	0.0219142
0.9	0.0246963
1	0.0275606
1.1	0.0304634
1.2	0.0334269
1.3	0.0364664
1.4	0.0395338
1.5	0.0426828
1.6	0.04585
1.7	0.049069
1.8	0.0526052
1.9	0.0561834
2	0.0596456
2.1	0.0630734
2.2	0.0664271
2.3	0.0698361
2.4	0.0731277
2.5	0.078617
2.6	0.0826758
2.7	0.0890631
2.8	0.0917713
2.9	0.0933281
3	0.0960285
3.1	0.096536
3.2	0.0995861
3.3	0.0999943
3.4	0.0999935
3.5	0.0999932
3.6	0.099994
3.7	0.0999937
3.8	0.0999936
3.9	0.099994
4	0.0999939
4.1	0.0999936
4.2	0.0999937
4.3	0.0999947
4.4	0.0999937
4.5	0.0999939
4.6	0.099994
4.7	0.0999942
4.8	0.0999939
4.9	0.0999939
5	0.0999942
