V1	I1
-5	3.84E-11
-4.9	-9.63E-11
-4.8	3.97E-11
-4.7	5.36E-11
-4.6	5.44E-11
-4.5	2.6E-12
-4.4	2.09E-11
-4.3	-1.5E-12
-4.2	1.88E-11
-4.1	-9.9E-12
-4	1.9E-12
-3.9	1.18E-11
-3.8	-7.4E-12
-3.7	-4.7E-11
-3.6	1.091E-10
-3.5	2.484E-10
-3.4	-1.161E-10
-3.3	1.097E-10
-3.2	-7.06E-11
-3.1	1.656E-10
-3	8.1E-12
-2.9	-6.14E-11
-2.8	3.34E-11
-2.7	-7E-12
-2.6	-1.64E-11
-2.5	9.5E-12
-2.4	9.5E-12
-2.3	5.05E-11
-2.2	-4.73E-11
-2.1	3.63E-11
-2	-1.33E-11
-1.9	6.3E-12
-1.8	6.5E-12
-1.7	1.49E-11
-1.6	2.42E-11
-1.5	3.5E-12
-1.4	9.1E-12
-1.3	3.57E-11
-1.2	-3E-13
-1.1	5.8E-12
-1	3E-12
-0.9	2.28E-11
-0.8	-6.1E-12
-0.7	6.8E-11
-0.6	4.17E-11
-0.5	-3.4E-11
-0.4	5.53E-11
-0.3	0.0000000013009
-0.2	1.863E-10
-0.1	7.02E-11
0	-4.55E-11
0.1	1.98E-10
0.2	-4.521E-10
0.3	1.09E-11
0.4	2.23E-11
0.5	-5.7E-12
0.6	1.95E-11
0.7	-7.9E-12
0.8	4.5E-12
0.9	3.28E-11
1	0.0000000013544
1.1	-7.407E-10
1.2	2.419E-10
1.3	-2.97E-11
1.4	-7.2E-12
1.5	1.63E-11
1.6	2.4E-11
1.7	-4E-13
1.8	-1.05E-11
1.9	-0.0000000013773
2	-1.424E-10
2.1	1.3E-11
2.2	0.0000000011603
2.3	-2.001E-10
2.4	6.16E-11
2.5	-1.3E-11
2.6	3.37E-11
2.7	-1.3E-10
2.8	4.92E-11
2.9	6.36E-11
3	-3.38E-11
3.1	-3.017E-10
3.2	-1.236E-10
3.3	-1.101E-10
3.4	4.022E-10
3.5	4.62E-11
3.6	-3E-13
3.7	-1.096E-10
3.8	-4.77E-11
3.9	-8.24E-11
4	-3.901E-10
4.1	-2.241E-10
4.2	7.084E-10
4.3	4.082E-10
4.4	9.52E-11
4.5	-5.884E-10
4.6	-3.68E-11
4.7	1.321E-10
4.8	7.83E-11
4.9	-2.71E-11
5	1.493E-10
