Vsweep	Cdata
-10	3.39865E-11
-9.6	3.39821E-11
-9.2	3.39812E-11
-8.8	3.39781E-11
-8.4	3.39756E-11
-8	3.39756E-11
-7.6	3.39739E-11
-7.2	3.39709E-11
-6.8	3.3966E-11
-6.4	3.39667E-11
-6	3.39654E-11
-5.6	3.39627E-11
-5.2	3.39639E-11
-4.8	3.39599E-11
-4.4	3.39571E-11
-4	3.39561E-11
-3.6	3.39525E-11
-3.2	3.39524E-11
-2.8	3.39501E-11
-2.4	3.39496E-11
-2	3.39461E-11
-1.6	3.3945E-11
-1.2	3.39439E-11
-0.799999999999999	3.39413E-11
-0.399999999999999	3.3939E-11
0	3.39387E-11
0.4	3.39369E-11
0.800000000000001	3.39348E-11
1.2	3.3932E-11
1.6	3.39303E-11
2	3.39312E-11
2.4	3.39279E-11
2.8	3.39289E-11
3.2	3.39239E-11
3.6	3.39241E-11
4	3.39218E-11
4.4	3.39197E-11
4.8	3.39217E-11
5.2	3.39177E-11
5.6	3.39173E-11
6	3.39145E-11
6.4	3.39126E-11
6.8	3.39104E-11
7.2	3.39082E-11
7.6	3.39088E-11
8	3.39079E-11
8.4	3.39057E-11
8.8	3.39031E-11
9.2	3.39029E-11
9.6	3.3902E-11
10	3.38995E-11
