 Vsweep	 Cdata
-10	3.58497E-11
-9.6	3.58431E-11
-9.2	3.5832E-11
-8.8	3.58226E-11
-8.4	3.58013E-11
-8	3.57713E-11
-7.6	3.56984E-11
-7.2	3.54835E-11
-6.8	3.47179E-11
-6.4	3.24547E-11
-6	2.90534E-11
-5.6	2.769E-11
-5.2	2.75665E-11
-4.8	2.75996E-11
-4.4	2.77029E-11
-4	2.78449E-11
-3.6	2.79952E-11
-3.2	2.81336E-11
-2.8	2.82309E-11
-2.4	2.82728E-11
-2	2.82878E-11
-1.6	2.82968E-11
-1.2	2.83102E-11
-0.799999999999999	2.83488E-11
-0.399999999999999	2.85364E-11
0	2.93902E-11
0.4	3.0973E-11
0.800000000000001	3.30905E-11
1.2	3.43673E-11
1.6	3.49342E-11
2	3.52144E-11
2.4	3.53736E-11
2.8	3.54752E-11
3.2	3.55445E-11
3.6	3.55954E-11
4	3.56346E-11
4.4	3.5668E-11
4.8	3.56912E-11
5.2	3.5712E-11
5.6	3.57305E-11
6	3.5745E-11
6.4	3.57567E-11
6.8	3.5767E-11
7.2	3.57769E-11
7.6	3.57846E-11
8	3.57936E-11
8.4	3.57999E-11
8.8	3.58051E-11
9.2	3.58138E-11
9.6	3.58134E-11
10	3.58218E-11
