 Vsweep	 Cdata
-10	3.58675E-11
-9.6	3.58611E-11
-9.2	3.58551E-11
-8.8	3.58482E-11
-8.4	3.58358E-11
-8	3.58282E-11
-7.6	3.58165E-11
-7.2	3.58039E-11
-6.8	3.57893E-11
-6.4	3.57709E-11
-6	3.57471E-11
-5.6	3.57202E-11
-5.2	3.56869E-11
-4.8	3.56516E-11
-4.4	3.56185E-11
-4	3.55819E-11
-3.6	3.55545E-11
-3.2	3.55292E-11
-2.8	3.54958E-11
-2.4	3.54501E-11
-2	3.53833E-11
-1.6	3.52875E-11
-1.2	3.51028E-11
-0.799999999999999	3.46754E-11
-0.399999999999999	3.30747E-11
0	3.15872E-11
0.4	3.33644E-11
0.800000000000001	3.44628E-11
1.2	3.49827E-11
1.6	3.52454E-11
2	3.53981E-11
2.4	3.54951E-11
2.8	3.55602E-11
3.2	3.56128E-11
3.6	3.56511E-11
4	3.56788E-11
4.4	3.57029E-11
4.8	3.57236E-11
5.2	3.57397E-11
5.6	3.57519E-11
6	3.57651E-11
6.4	3.57779E-11
6.8	3.57853E-11
7.2	3.57923E-11
7.6	3.58004E-11
8	3.5805E-11
8.4	3.5812E-11
8.8	3.58185E-11
9.2	3.58233E-11
9.6	3.58276E-11
10	3.58312E-11
