 Vsweep	 Cdata
-10	3.36862E-11
-9.6	3.36901E-11
-9.2	3.36856E-11
-8.8	3.36804E-11
-8.4	3.3681E-11
-8	3.36791E-11
-7.6	3.36747E-11
-7.2	3.36713E-11
-6.8	3.36695E-11
-6.4	3.36688E-11
-6	3.36673E-11
-5.6	3.36624E-11
-5.2	3.36639E-11
-4.8	3.366E-11
-4.4	3.3659E-11
-4	3.3656E-11
-3.6	3.3654E-11
-3.2	3.36551E-11
-2.8	3.36534E-11
-2.4	3.36512E-11
-2	3.36494E-11
-1.6	3.36479E-11
-1.2	3.36484E-11
-0.799999999999999	3.3646E-11
-0.399999999999999	3.36402E-11
0	3.36406E-11
0.4	3.36401E-11
0.800000000000001	3.36384E-11
1.2	3.36375E-11
1.6	3.3635E-11
2	3.36324E-11
2.4	3.36321E-11
2.8	3.36291E-11
3.2	3.36281E-11
3.6	3.36273E-11
4	3.36256E-11
4.4	3.36265E-11
4.8	3.36252E-11
5.2	3.36217E-11
5.6	3.36211E-11
6	3.36166E-11
6.4	3.36194E-11
6.8	3.3616E-11
7.2	3.36147E-11
7.6	3.36137E-11
8	3.36136E-11
8.4	3.36141E-11
8.8	3.36089E-11
9.2	3.36093E-11
9.6	3.36086E-11
10	3.36074E-11
