 Vsweep	 Cdata
-10	3.36634E-11
-9.6	3.36612E-11
-9.2	3.36612E-11
-8.8	3.36584E-11
-8.4	3.36564E-11
-8	3.36535E-11
-7.6	3.36535E-11
-7.2	3.36502E-11
-6.8	3.36461E-11
-6.4	3.36447E-11
-6	3.36461E-11
-5.6	3.36432E-11
-5.2	3.36435E-11
-4.8	3.36401E-11
-4.4	3.36361E-11
-4	3.36361E-11
-3.6	3.36362E-11
-3.2	3.36329E-11
-2.8	3.36311E-11
-2.4	3.36303E-11
-2	3.36284E-11
-1.6	3.36282E-11
-1.2	3.3626E-11
-0.799999999999999	3.3623E-11
-0.399999999999999	3.36226E-11
0	3.36215E-11
0.4	3.36188E-11
0.800000000000001	3.36191E-11
1.2	3.36153E-11
1.6	3.3616E-11
2	3.36145E-11
2.4	3.36125E-11
2.8	3.36098E-11
3.2	3.36096E-11
3.6	3.36088E-11
4	3.36069E-11
4.4	3.36046E-11
4.8	3.36042E-11
5.2	3.36027E-11
5.6	3.36004E-11
6	3.36027E-11
6.4	3.36004E-11
6.8	3.36001E-11
7.2	3.35978E-11
7.6	3.35969E-11
8	3.35958E-11
8.4	3.35953E-11
8.8	3.35919E-11
9.2	3.35922E-11
9.6	3.3591E-11
10	3.35876E-11
