V3 I3
-1 -1.51E-09
-0.98 3.64E-09
-0.96 4.2E-10
-0.94 -1.17E-09
-0.92 3.56E-09
-0.9 -9.3E-10
-0.88 -6.1E-10
-0.86 -1.48E-09
-0.84 3.16E-09
-0.82 -9E-10
-0.8 -1.44E-09
-0.78 -2.76E-09
-0.76 -1.42E-09
-0.74 -1.11E-09
-0.72 3.77E-09
-0.7 -9.3E-10
-0.68 -2.6E-10
-0.66 -2.59E-09
-0.64 -3.5E-10
-0.62 -1.02E-09
-0.6 4.24E-09
-0.58 -3.7E-10
-0.56 -3.9E-10
-0.54 -1.02E-09
-0.52 4.25E-09
-0.5 -8.8E-10
-0.48 2.4E-10
-0.46 -2.11E-09
-0.44 -8E-10
-0.42 -1.22E-09
-0.4 4.5E-09
-0.38 -7.8E-10
-0.36 -4E-10
-0.34 6.75E-09
-0.32 2.41623E-07
-0.3 2.42525E-07
-0.28 6.29E-09
-0.26 -2.6E-10
-0.24 -2.02E-09
-0.22 -7.1E-10
-0.2 7.89E-09
-0.18 2.44906E-07
-0.16 5.46E-09
-0.14 4.45E-09
-0.12 -3.1E-10
-0.1 5.47E-09
-0.08 1.2E-10
-0.06 -8.2E-10
-0.04 -1.47E-09
-0.02 4.43E-09
0 -5.8E-10
0.02 5.38E-09
0.04 -5.4E-10
0.06 4.52E-09
0.08 -4.6E-10
0.1 4.41E-09
0.12 9.52E-09
0.14 2.88E-09
0.16 7.4E-10
0.18 5.22E-09
0.2 9.98E-09
0.22 4.25E-09
0.24 1.107E-08
0.26 3.54E-09
0.28 1.327E-08
0.3 8.99E-09
0.32 1.334E-08
0.34 2.404E-08
0.36 4.714E-08
0.38 8.601E-08
0.4 3.28555E-07
0.42 3.97798E-07
0.44 5.7266E-07
0.46 1.02168E-06
0.48 1.73646E-06
0.5 2.80696E-06
0.52 4.26295E-06
0.54 6.11355E-06
0.56 8.34938E-06
0.58 1.0974E-05
0.6 1.38378E-05
0.62 1.69717E-05
0.64 2.03325E-05
0.66 2.3863E-05
0.68 2.75928E-05
0.7 3.14589E-05
0.72 3.54983E-05
0.74 3.95837E-05
0.76 4.3943E-05
0.78 4.83157E-05
0.8 5.29922E-05
0.82 5.75185E-05
0.84 6.22593E-05
0.86 6.71444E-05
0.88 7.21117E-05
0.9 7.75571E-05
0.92 8.29115E-05
0.94 8.83432E-05
0.96 9.39773E-05
0.98 9.96701E-05
1 0.000105357
