V3 I3
-40 1.0877E-09
-39.2 1.1249E-09
-38.4 1.116E-09
-37.6 1.1779E-09
-36.8 1.191E-09
-36 1.1265E-09
-35.2 1.1018E-09
-34.4 1.0019E-09
-33.6 9.904E-10
-32.8 9.884E-10
-32 1.0077E-09
-31.2 1.0096E-09
-30.4 1.0435E-09
-29.6 1.052E-09
-28.8 1.0819E-09
-28 1.0957E-09
-27.2 1.0989E-09
-26.4 1.0803E-09
-25.6 1.14E-09
-24.8 1.1229E-09
-24 1.157E-09
-23.2 1.1433E-09
-22.4 1.1597E-09
-21.6 1.1623E-09
-20.8 1.1566E-09
-20 1.1124E-09
-19.2 1.0942E-09
-18.4 1.0523E-09
-17.6 1.0411E-09
-16.8 1.021E-09
-16 1.0431E-09
-15.2 1.0357E-09
-14.4 1.0654E-09
-13.6 1.0873E-09
-12.8 1.1252E-09
-12 1.18E-09
-11.2 1.2665E-09
-10.4 1.3443E-09
-9.6 1.3728E-09
-8.8 1.4582E-09
-8 1.5478E-09
-7.2 1.6098E-09
-6.4 1.659E-09
-5.6 1.6801E-09
-4.8 1.7049E-09
-4 1.7804E-09
-3.2 1.811E-09
-2.4 1.861E-09
-1.6 1.9092E-09
-0.8 1.9619E-09
0 2.0288E-09
0.8 2.1164E-09
1.6 2.1795E-09
2.4 2.2561E-09
3.2 2.3415E-09
4 2.4002E-09
4.8 2.473E-09
5.6 2.5744E-09
6.4 3.0785E-09
7.2 7.32481E-08
8 9.34031E-07
8.8 2.39552E-06
9.6 3.92741E-06
10.4 6.48319E-06
11.2 1.02846E-05
12 1.65272E-05
12.8 2.06066E-05
13.6 2.48303E-05
14.4 2.96584E-05
15.2 3.59873E-05
16 4.56886E-05
16.8 5.7758E-05
17.6 6.91679E-05
18.4 8.30828E-05
19.2 9.9328E-05
20 0.000118456
20.8 0.000149377
21.6 0.000175677
22.4 0.000203899
23.2 0.000233688
24 0.000269311
24.8 0.000307629
25.6 0.000345548
26.4 0.000384554
27.2 0.00042639
28 0.000473486
28.8 0.000524934
29.6 0.00057511
30.4 0.00062586
31.2 0.000678889
32 0.000734536
32.8 0.00079148
33.6 0.000849907
34.4 0.000909744
35.2 0.000970563
36 0.001033221
36.8 0.001098758
37.6 0.00116752
38.4 0.00123981
39.2 0.00131551
40 0.0014125
