V1	I1
0	-0.00001106167
0.05	0.00115531
0.1	0.00231345
0.15	0.00345689
0.2	0.00457802
0.25	0.00567062
0.3	0.00674857
0.35	0.00777403
0.4	0.00876345
0.45	0.00971134
0.5	0.01061971
0.55	0.0114998
0.6	0.0123249
0.65	0.0131093
0.7	0.0138547
0.75	0.0145615
0.8	0.0152415
0.85	0.015875
0.9	0.0164763
0.95	0.0170465
1	0.0175874
1.05	0.0181091
1.1	0.0185986
1.15	0.0190652
1.2	0.019511
1.25	0.019937
1.3	0.0203458
1.35	0.0207439
1.4	0.021121
1.45	0.0214841
1.5	0.021835
1.55	0.0221737
1.6	0.022505
1.65	0.0228221
1.7	0.0231302
1.75	0.0234292
1.8	0.0237195
1.85	0.0240063
1.9	0.0242813
1.95	0.0245496
2	0.0248106
2.05	0.0250658
2.1	0.0253182
2.15	0.0255612
2.2	0.0257986
2.25	0.0260306
2.3	0.0262576
2.35	0.0264831
2.4	0.0267003
2.45	0.0269131
2.5	0.0271213
2.55	0.027325
2.6	0.027525
2.65	0.0277237
2.7	0.0279156
2.75	0.028104
2.8	0.0282884
2.85	0.0284695
2.9	0.0286498
2.95	0.0288241
3	0.0289949
3.05	0.0291629
3.1	0.0293275
3.15	0.0294917
3.2	0.0296506
3.25	0.0298065
3.3	0.0299597
3.35	0.0301103
3.4	0.0302608
3.45	0.0304061
3.5	0.0305495
3.55	0.0306903
3.6	0.0308289
3.65	0.0309653
3.7	0.0311019
3.75	0.0312342
3.8	0.0313648
3.85	0.0314934
3.9	0.0316207
3.95	0.0317479
4	0.0318717
4.05	0.0319942
4.1	0.0321153
4.15	0.0322352
4.2	0.032356
4.25	0.0324739
4.3	0.0325911
4.35	0.0327075
4.4	0.0328232
4.45	0.0329408
4.5	0.033056
4.55	0.0331714
4.6	0.0332876
4.65	0.0334035
4.7	0.0335206
4.75	0.0336406
4.8	0.0337603
4.85	0.0338817
4.9	0.0340049
4.95	0.0341308
5	0.0342607
0	-0.00001110045
0.05	0.00116876
0.1	0.00234084
0.15	0.0034985
0.2	0.00463473
0.25	0.00574275
0.3	0.00683684
0.35	0.00787848
0.4	0.00888449
0.45	0.00984905
0.5	0.01077387
0.55	0.0116708
0.6	0.0125121
0.65	0.0133121
0.7	0.0140724
0.75	0.0147932
0.8	0.0154873
0.85	0.0161335
0.9	0.0167466
0.95	0.017328
1	0.0178793
1.05	0.0184105
1.1	0.0189087
1.15	0.0193831
1.2	0.0198362
1.25	0.0202689
1.3	0.0206837
1.35	0.0210871
1.4	0.0214688
1.45	0.0218368
1.5	0.0221916
1.55	0.022534
1.6	0.0228684
1.65	0.0231886
1.7	0.0234996
1.75	0.0238009
1.8	0.0240935
1.85	0.0243827
1.9	0.0246594
1.95	0.0249296
2	0.0251919
2.05	0.0254483
2.1	0.0257021
2.15	0.025946
2.2	0.0261842
2.25	0.0264174
2.3	0.026645
2.35	0.0268714
2.4	0.0270889
2.45	0.0273021
2.5	0.0275108
2.55	0.0277151
2.6	0.0279152
2.65	0.0281144
2.7	0.0283063
2.75	0.0284948
2.8	0.0286792
2.85	0.0288603
2.9	0.0290404
2.95	0.0292143
3	0.0293848
3.05	0.0295525
3.1	0.0297169
3.15	0.0298807
3.2	0.0300392
3.25	0.0301946
3.3	0.0303474
3.35	0.0304974
3.4	0.0306473
3.45	0.030792
3.5	0.0309347
3.55	0.0310748
3.6	0.0312128
3.65	0.0313485
3.7	0.0314841
3.75	0.0316157
3.8	0.0317454
3.85	0.0318731
3.9	0.0319993
3.95	0.0321256
4	0.0322484
4.05	0.0323697
4.1	0.0324896
4.15	0.0326083
4.2	0.032728
4.25	0.0328445
4.3	0.0329602
4.35	0.0330751
4.4	0.0331896
4.45	0.0333054
4.5	0.0334193
4.55	0.0335329
4.6	0.033647
4.65	0.033761
4.7	0.0338763
4.75	0.0339943
4.8	0.0341116
4.85	0.0342309
4.9	0.0343516
4.95	0.0344744
5	0.0346012
0	-0.00001119604
0.05	0.00118083
0.1	0.00236522
0.15	0.00353572
0.2	0.0046853
0.25	0.00580739
0.3	0.00691662
0.35	0.00797368
0.4	0.0089957
0.45	0.00997664
0.5	0.01091779
0.55	0.0118318
0.6	0.0126896
0.65	0.0135058
0.7	0.0142823
0.75	0.0150185
0.8	0.0157273
0.85	0.0163875
0.9	0.0170138
0.95	0.017607
1	0.0181695
1.05	0.0187114
1.1	0.0192191
1.15	0.0197021
1.2	0.0201632
1.25	0.020603
1.3	0.021024
1.35	0.0214338
1.4	0.0218213
1.45	0.0221937
1.5	0.0225531
1.55	0.0228998
1.6	0.0232377
1.65	0.0235613
1.7	0.023875
1.75	0.0241791
1.8	0.0244742
1.85	0.0247656
1.9	0.0250443
1.95	0.0253162
2	0.0255802
2.05	0.0258381
2.1	0.0260932
2.15	0.0263384
2.2	0.0265779
2.25	0.0268117
2.3	0.0270401
2.35	0.0272671
2.4	0.0274855
2.45	0.0276993
2.5	0.0279083
2.55	0.0281129
2.6	0.0283131
2.65	0.0285125
2.7	0.0287048
2.75	0.0288932
2.8	0.0290777
2.85	0.0292588
2.9	0.0294387
2.95	0.0296124
3	0.0297829
3.05	0.0299503
3.1	0.0301146
3.15	0.0302778
3.2	0.0304359
3.25	0.030591
3.3	0.0307429
3.35	0.0308925
3.4	0.0310416
3.45	0.0311859
3.5	0.0313278
3.55	0.0314673
3.6	0.0316043
3.65	0.0317393
3.7	0.0318742
3.75	0.0320048
3.8	0.0321335
3.85	0.0322605
3.9	0.0323857
3.95	0.0325109
4	0.0326327
4.05	0.0327529
4.1	0.0328717
4.15	0.0329891
4.2	0.0331074
4.25	0.0332226
4.3	0.0333369
4.35	0.0334507
4.4	0.0335636
4.45	0.0336778
4.5	0.0337898
4.55	0.0339018
4.6	0.0340143
4.65	0.0341262
4.7	0.0342395
4.75	0.0343553
4.8	0.0344704
4.85	0.0345871
4.9	0.0347053
4.95	0.0348259
5	0.0349501
0	-0.00001106432
0.05	0.00119137
0.1	0.00238654
0.15	0.00356836
0.2	0.00473004
0.25	0.00586458
0.3	0.00698747
0.35	0.00805859
0.4	0.00909536
0.45	0.01009161
0.5	0.01104831
0.55	0.0119794
0.6	0.0128537
0.65	0.0136862
0.7	0.0144788
0.75	0.0152308
0.8	0.0159549
0.85	0.0166296
0.9	0.0172699
0.95	0.0178763
1	0.018451
1.05	0.0190043
1.1	0.0195221
1.15	0.020015
1.2	0.0204847
1.25	0.0209325
1.3	0.0213611
1.35	0.0217774
1.4	0.0221707
1.45	0.0225485
1.5	0.0229125
1.55	0.0232637
1.6	0.0236059
1.65	0.0239331
1.7	0.0242502
1.75	0.0245573
1.8	0.024855
1.85	0.025149
1.9	0.0254299
1.95	0.0257037
2	0.0259697
2.05	0.0262292
2.1	0.0264859
2.15	0.0267323
2.2	0.0269728
2.25	0.0272078
2.3	0.0274372
2.35	0.027665
2.4	0.0278842
2.45	0.0280984
2.5	0.028308
2.55	0.0285131
2.6	0.0287137
2.65	0.0289132
2.7	0.0291056
2.75	0.0292943
2.8	0.0294788
2.85	0.0296598
2.9	0.0298395
2.95	0.0300131
3	0.0301834
3.05	0.0303506
3.1	0.0305145
3.15	0.0306775
3.2	0.0308352
3.25	0.0309896
3.3	0.0311414
3.35	0.0312904
3.4	0.0314391
3.45	0.0315826
3.5	0.0317241
3.55	0.0318628
3.6	0.0319993
3.65	0.0321335
3.7	0.0322674
3.75	0.0323972
3.8	0.0325251
3.85	0.0326511
3.9	0.0327753
3.95	0.0328995
4	0.0330203
4.05	0.0331394
4.1	0.0332571
4.15	0.0333732
4.2	0.0334902
4.25	0.0336043
4.3	0.0337174
4.35	0.0338297
4.4	0.0339411
4.45	0.0340541
4.5	0.0341645
4.55	0.0342748
4.6	0.0343855
4.65	0.034496
4.7	0.0346072
4.75	0.0347212
4.8	0.0348342
4.85	0.034949
4.9	0.0350652
4.95	0.0351833
5	0.0353053
0	-0.0000111492
0.05	0.00120076
0.1	0.00240591
0.15	0.00359799
0.2	0.00477003
0.25	0.00591602
0.3	0.00705084
0.35	0.00813471
0.4	0.00918486
0.45	0.01019493
0.5	0.01116578
0.55	0.0121129
0.6	0.0130025
0.65	0.0138508
0.7	0.0146588
0.75	0.0154266
0.8	0.0161663
0.85	0.0168561
0.9	0.0175104
0.95	0.0181304
1	0.0187179
1.05	0.0192833
1.1	0.0198125
1.15	0.0203154
1.2	0.0207947
1.25	0.0212512
1.3	0.0216876
1.35	0.0221111
1.4	0.0225109
1.45	0.022895
1.5	0.0232646
1.55	0.0236205
1.6	0.0239673
1.65	0.0242984
1.7	0.0246194
1.75	0.0249298
1.8	0.0252307
1.85	0.0255273
1.9	0.0258109
1.95	0.0260869
2	0.026355
2.05	0.0266163
2.1	0.0268744
2.15	0.0271224
2.2	0.0273642
2.25	0.0276006
2.3	0.0278311
2.35	0.0280598
2.4	0.0282796
2.45	0.0284949
2.5	0.0287049
2.55	0.0289108
2.6	0.0291119
2.65	0.0293119
2.7	0.0295045
2.75	0.0296933
2.8	0.029878
2.85	0.0300591
2.9	0.0302389
2.95	0.0304126
3	0.0305827
3.05	0.0307498
3.1	0.0309135
3.15	0.0310761
3.2	0.0312335
3.25	0.0313877
3.3	0.0315389
3.35	0.0316874
3.4	0.0318356
3.45	0.0319788
3.5	0.0321194
3.55	0.0322576
3.6	0.0323935
3.65	0.032527
3.7	0.03266
3.75	0.032789
3.8	0.0329162
3.85	0.0330413
3.9	0.0331646
3.95	0.0332879
4	0.0334076
4.05	0.0335256
4.1	0.0336424
4.15	0.0337577
4.2	0.0338735
4.25	0.0339863
4.3	0.034098
4.35	0.0342089
4.4	0.0343191
4.45	0.0344303
4.5	0.0345393
4.55	0.0346481
4.6	0.0347572
4.65	0.0348658
4.7	0.0349753
4.75	0.0350873
4.8	0.0351984
4.85	0.0353106
4.9	0.0354246
4.95	0.0355403
5	0.0356598
0	-0.00001081281
0.05	0.00121007
0.1	0.00242414
0.15	0.00362541
0.2	0.00480722
0.25	0.00596326
0.3	0.00710916
0.35	0.00820441
0.4	0.00926664
0.45	0.01028955
0.5	0.011273
0.55	0.012235
0.6	0.0131392
0.65	0.0140021
0.7	0.0148255
0.75	0.015608
0.8	0.0163631
0.85	0.0170675
0.9	0.017736
0.95	0.0183699
1	0.0189706
1.05	0.0195485
1.1	0.0200893
1.15	0.0206032
1.2	0.0210927
1.25	0.0215584
1.3	0.0220035
1.35	0.0224349
1.4	0.0228419
1.45	0.0232323
1.5	0.0236077
1.55	0.0239691
1.6	0.0243208
1.65	0.0246565
1.7	0.0249814
1.75	0.0252954
1.8	0.0255999
1.85	0.0258996
1.9	0.0261858
1.95	0.0264644
2	0.0267347
2.05	0.0269982
2.1	0.0272583
2.15	0.027508
2.2	0.0277513
2.25	0.0279888
2.3	0.0282207
2.35	0.0284507
2.4	0.0286715
2.45	0.0288875
2.5	0.0290987
2.55	0.0293048
2.6	0.0295067
2.65	0.0297071
2.7	0.0299001
2.75	0.0300893
2.8	0.0302742
2.85	0.0304555
2.9	0.0306356
2.95	0.0308092
3	0.0309795
3.05	0.0311463
3.1	0.0313098
3.15	0.0314724
3.2	0.0316295
3.25	0.0317834
3.3	0.0319345
3.35	0.0320827
3.4	0.0322305
3.45	0.0323729
3.5	0.0325133
